Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
HONORABLE	ACKERMAN	GARY		X	NY05	2013	1/28/2013	8209738
HONORABLE	ACKERMAN	GARY		T	NY05	2013	3/14/2013	8209998
	ADAME	MARSHALL RICHARD		D	NC03	2013	9/5/2013	8213081
	ADAME	MARSHALL RICHARD		O	NC03	2013	12/31/2013	8213730
	ADAMS	ALMA SHEALEY		O	NC12	2013	8/1/2013	8212748
HONORABLE	ADAMS	SANDRA "SANDY"		O	FL24	2013	5/15/2013	8211641
HONORABLE	ADAMS	SANDRA "SANDY"		T	FL24	2013	1/17/2013	8209668
	ADAMS	STEVE		O	CA41	2013	6/24/2013	8212369
HONORABLE	ADERHOLT	ROBERT B.		O	AL04	2013	5/15/2013	8210792
	AGUILAR	PETE		X	CA31	2013	5/17/2013	8210564
	AGUILAR	PETE		O	CA31	2013	6/17/2013	8212321
HONORABLE	AKIN	WILLIAM TODD		T	MO02	2013	1/17/2013	8209669
HONORABLE	ALEXANDER	RODNEY		O	LA05	2013	5/14/2013	8210793
HONORABLE	ALEXANDER	RODNEY		T	LA05	2013	10/30/2013	8213326
	ALLEN	RICHARD W.		O	GA12	2013	7/8/2013	8212497
	ALLIEGRO	MARK C.		X	MA09	2013	11/14/2013	8213493
HONORABLE	ALTMIRE	JASON		T	PA04	2013	1/10/2013	8209650
HONORABLE	AMASH	JUSTIN		O	MI03	2013	5/14/2013	8210794
HONORABLE	AMODEI	MARK E.		O	NV02	2013	5/15/2013	8211956
	ANDEL	ELLEN		O	FL18	2013	7/17/2013	8212622
	ANDERSON	IKAIKA		O	HI01	2013	9/11/2013	8213107
	ANDERSON	QUENTIN ANTHONY		D	LA06	2013	10/17/2013	8213249
HONORABLE	ANDREWS	ROBERT E.		O	NJ01	2013	5/14/2013	8211957
	APPEL	STACI		X	IA03	2013	8/5/2013	8212798
	APPEL	STACI		O	IA03	2013	10/24/2013	8213314
	ARKOOSH	VALERIE ANN		X	PA13	2013	5/15/2013	8210454
	ARKOOSH	VALERIE ANN		O	PA13	2013	6/19/2013	8212350
	ARTERBURN	TONY EDWARD	JR.	D	TX04	2013	5/24/2013	9103146
	ASSAD	MIKE		O	NJ02	2013	7/15/2013	8212565
HONORABLE	AUSTRIA	STEVE		T	OH07	2013	2/21/2013	8209884
	BACA	JOE		O	CA35	2013	5/14/2013	8210788
HONORABLE	BACA	JOE		T	CA43	2013	11/30/2012	8209504
